episode,agent,opponent,goals_scored,goals_conceded,result
102,base2,base,3,2,win
103,base,base2,2,3,lose
103,base2,base,3,2,win
104,base,base2,3,2,win
104,base2,base,3,2,win
105,base,base2,3,2,win
105,base2,base,2,3,lose
106,base,base2,2,3,lose
106,base2,base,3,2,win
107,base,base2,3,2,win
107,base2,base,2,3,lose
108,base,base2,2,3,lose
108,base2,base,3,2,win
109,base,base2,2,3,lose
109,base2,base,3,2,win
110,base,base2,3,2,win
110,base2,base,3,2,win
111,base,base2,2,3,lose
111,base2,base,3,2,win
112,base,base2,3,2,win
112,base2,base,2,3,lose
113,base,base2,2,3,lose
113,base2,base,3,2,win
114,base,base2,2,3,lose
114,base2,base,2,3,lose
115,base,base2,2,3,lose
115,base2,base,2,3,lose
116,base,base2,3,2,win
116,base2,base,2,3,lose
117,base,base2,2,3,lose
117,base2,base,2,3,lose
118,base,base2,3,2,win
118,base2,base,3,2,win
119,base,base2,3,2,win
119,base2,base,3,2,win
120,base,base2,2,3,lose
120,base2,base,2,3,lose
121,base,base2,3,2,win
121,base2,base,2,3,lose
122,base,base2,2,3,lose
122,base2,base,3,2,win
123,base,base2,2,3,lose
123,base2,base,2,3,lose
124,base,base2,2,3,lose
124,base2,base,2,3,lose
125,base,base2,3,2,win
125,base2,base,3,2,win
126,base,base2,2,3,lose
126,base2,base,2,3,lose
127,base,base2,2,3,lose
127,base2,base,3,2,win
128,base,base2,3,2,win
128,base2,base,2,3,lose
129,base,base2,3,2,win
129,base2,base,3,2,win
130,base,base2,3,2,win
130,base2,base,3,2,win
131,base,base2,3,2,win
131,base2,base,2,3,lose
132,base,base2,2,3,lose
132,base2,base,3,2,win
133,base,base2,3,2,win
133,base2,base,3,2,win
134,base,base2,3,2,win
134,base2,base,3,2,win
135,base,base2,2,3,lose
135,base2,base,2,3,lose
136,base,base2,3,2,win
136,base2,base,3,2,win
137,base,base2,2,3,lose
137,base2,base,2,3,lose
138,base,base2,2,3,lose
138,base2,base,2,3,lose
139,base,base2,3,2,win
139,base2,base,2,3,lose
140,base,base2,2,3,lose
140,base2,base,3,2,win
141,base,base2,2,3,lose
141,base2,base,3,2,win
142,base,base2,2,3,lose
142,base2,base,2,3,lose
143,base,base2,2,3,lose
143,base2,base,3,2,win
144,base,base2,3,2,win
144,base2,base,2,3,lose
145,base,base2,3,2,win
145,base2,base,3,2,win
146,base,base2,3,2,win
146,base2,base,3,2,win
147,base,base2,3,2,win
147,base2,base,3,2,win
148,base,base2,2,3,lose
148,base2,base,2,3,lose
149,base,base2,3,2,win
149,base2,base,3,2,win
150,base,base2,3,2,win
150,base2,base,3,2,win
151,base,base2,2,3,lose
151,base2,base,2,3,lose
152,base,base2,3,2,win
152,base2,base,3,2,win
153,base,base2,3,2,win
153,base2,base,2,3,lose
154,base,base2,2,3,lose
154,base2,base,2,3,lose
155,base,base2,2,3,lose
155,base2,base,3,2,win
156,base,base2,2,3,lose
156,base2,base,3,2,win
157,base,base2,2,3,lose
157,base2,base,3,2,win
158,base,base2,3,2,win
158,base2,base,3,2,win
159,base,base2,3,2,win
159,base2,base,3,2,win
160,base,base2,3,2,win
160,base2,base,2,3,lose
161,base,base2,2,3,lose
161,base2,base,2,3,lose
162,base,base2,3,2,win
162,base2,base,3,2,win
163,base,base2,2,3,lose
163,base2,base,2,3,lose
164,base,base2,2,3,lose
164,base2,base,3,2,win
165,base,base2,2,3,lose
165,base2,base,2,3,lose
166,base,base2,3,2,win
166,base2,base,3,2,win
167,base,base2,3,2,win
167,base2,base,2,3,lose
168,base,base2,3,2,win
168,base2,base,3,2,win
169,base,base2,2,3,lose
169,base2,base,3,2,win
170,base,base2,2,3,lose
170,base2,base,3,2,win
171,base,base2,3,2,win
171,base2,base,3,2,win
172,base,base2,2,3,lose
172,base2,base,3,2,win
173,base,base2,2,3,lose
173,base2,base,3,2,win
174,base,base2,3,2,win
174,base2,base,2,3,lose
175,base,base2,2,3,lose
175,base2,base,2,3,lose
176,base,base2,3,2,win
176,base2,base,2,3,lose
177,base,base2,3,2,win
177,base2,base,2,3,lose
178,base,base2,3,2,win
178,base2,base,3,2,win
179,base,base2,3,2,win
179,base2,base,3,2,win
180,base,base2,2,3,lose
180,base2,base,2,3,lose
181,base,base2,3,2,win
181,base2,base,3,2,win
182,base,base2,3,2,win
182,base2,base,2,3,lose
183,base,base2,2,3,lose
183,base2,base,3,2,win
184,base,base2,3,2,win
184,base2,base,2,3,lose
185,base,base2,2,3,lose
185,base2,base,2,3,lose
186,base,base2,3,2,win
186,base2,base,3,2,win
187,base,base2,2,3,lose
187,base2,base,2,3,lose
188,base,base2,3,2,win
188,base2,base,2,3,lose
189,base,base2,2,3,lose
189,base2,base,2,3,lose
190,base,base2,3,2,win
190,base2,base,3,2,win
191,base,base2,2,3,lose
191,base2,base,2,3,lose
192,base,base2,2,3,lose
192,base2,base,3,2,win
193,base,base2,3,2,win
193,base2,base,2,3,lose
194,base,base2,2,3,lose
194,base2,base,2,3,lose
195,base,base2,2,3,lose
195,base2,base,3,2,win
196,base,base2,2,3,lose
196,base2,base,3,2,win
197,base,base2,2,3,lose
197,base2,base,2,3,lose
198,base,base2,2,3,lose
198,base2,base,2,3,lose
199,base,base2,2,3,lose
199,base2,base,2,3,lose
200,base,base2,2,3,lose
200,base2,base,2,3,lose
201,base,base2,2,3,lose
201,base2,base,2,3,lose
202,base,base2,2,3,lose
202,base2,base,2,3,lose
203,base,base2,3,2,win
203,base2,base,3,2,win
204,base,base2,2,3,lose
204,base2,base,2,3,lose
205,base,base2,2,3,lose
205,base2,base,3,2,win
206,base,base2,3,2,win
206,base2,base,2,3,lose
207,base,base2,2,3,lose
207,base2,base,2,3,lose
208,base,base2,2,3,lose
208,base2,base,3,2,win
209,base,base2,2,3,lose
209,base2,base,3,2,win
210,base,base2,2,3,lose
210,base2,base,3,2,win
211,base,base2,2,3,lose
211,base2,base,3,2,win
212,base,base2,2,3,lose
212,base2,base,2,3,lose
213,base,base2,2,3,lose
213,base2,base,3,2,win
214,base,base2,2,3,lose
214,base2,base,3,2,win
215,base,base2,2,3,lose
215,base2,base,3,2,win
216,base,base2,3,2,win
216,base2,base,3,2,win
217,base,base2,2,3,lose
217,base2,base,3,2,win
218,base,base2,2,3,lose
218,base2,base,3,2,win
219,base,base2,2,3,lose
219,base2,base,2,3,lose
220,base,base2,2,3,lose
220,base2,base,2,3,lose
221,base,base2,3,2,win
221,base2,base,2,3,lose
222,base,base2,3,2,win
222,base2,base,3,2,win
223,base,base2,2,3,lose
223,base2,base,2,3,lose
224,base,base2,2,3,lose
224,base2,base,3,2,win
225,base,base2,3,2,win
225,base2,base,2,3,lose
226,base,base2,2,3,lose
226,base2,base,2,3,lose
227,base,base2,3,2,win
227,base2,base,2,3,lose
228,base,base2,3,2,win
228,base2,base,2,3,lose
229,base,base2,2,3,lose
229,base2,base,2,3,lose
230,base,base2,3,2,win
230,base2,base,2,3,lose
231,base,base2,2,3,lose
231,base2,base,2,3,lose
232,base,base2,2,3,lose
232,base2,base,2,3,lose
233,base,base2,2,3,lose
233,base2,base,3,2,win
234,base,base2,2,3,lose
234,base2,base,2,3,lose
235,base,base2,3,2,win
235,base2,base,2,3,lose
236,base,base2,2,3,lose
236,base2,base,2,3,lose
237,base,base2,2,3,lose
237,base2,base,3,2,win
238,base,base2,3,2,win
238,base2,base,2,3,lose
239,base,base2,4,1,win
239,base2,base,2,3,lose
240,base,base2,3,2,win
240,base2,base,3,2,win
241,base,base2,2,3,lose
241,base2,base,3,2,win
242,base,base2,2,3,lose
242,base2,base,2,3,lose
243,base,base2,3,2,win
243,base2,base,2,3,lose
244,base,base2,2,3,lose
244,base2,base,2,3,lose
245,base,base2,3,2,win
245,base2,base,2,3,lose
246,base,base2,2,3,lose
246,base2,base,2,3,lose
247,base,base2,2,3,lose
247,base2,base,2,3,lose
248,base,base2,2,3,lose
