agent,matches,win_rate,draw_rate,loss_rate,goals_scored,goals_conceded,goal_diff
base,5000,44.46,0.0,55.54,2.4448,2.5552,-0.1104
base2,5000,46.14,0.0,53.86,2.4614,2.5386,-0.0772
