agent,matches,win_rate,draw_rate,loss_rate,goals_scored,goals_conceded,goal_diff
base,5000,64.08,0.0,35.92,2.6576,2.3424,0.3152
no_limit,5000,43.419999999999995,0.0,56.58,2.4342,2.5658,-0.1316
