episode,agent,opponent,goals_scored,goals_conceded,result
90,base,no_limit,3,2,win
90,no_limit,base,2,3,lose
91,base,no_limit,2,3,lose
91,no_limit,base,2,3,lose
92,base,no_limit,2,3,lose
92,no_limit,base,2,3,lose
93,base,no_limit,3,2,win
93,no_limit,base,2,3,lose
94,base,no_limit,3,2,win
94,no_limit,base,3,2,win
95,base,no_limit,3,2,win
95,no_limit,base,3,2,win
96,base,no_limit,2,3,lose
96,no_limit,base,2,3,lose
97,base,no_limit,3,2,win
97,no_limit,base,2,3,lose
98,base,no_limit,2,3,lose
98,no_limit,base,2,3,lose
99,base,no_limit,4,1,win
99,no_limit,base,2,3,lose
100,base,no_limit,3,2,win
100,no_limit,base,2,3,lose
101,base,no_limit,2,3,lose
101,no_limit,base,2,3,lose
102,base,no_limit,3,2,win
102,no_limit,base,2,3,lose
103,base,no_limit,2,3,lose
103,no_limit,base,2,3,lose
104,base,no_limit,3,2,win
104,no_limit,base,3,2,win
105,base,no_limit,2,3,lose
105,no_limit,base,2,3,lose
106,base,no_limit,3,2,win
106,no_limit,base,3,2,win
107,base,no_limit,2,3,lose
107,no_limit,base,3,2,win
108,base,no_limit,2,3,lose
108,no_limit,base,3,2,win
109,base,no_limit,2,3,lose
109,no_limit,base,2,3,lose
110,base,no_limit,3,2,win
110,no_limit,base,2,3,lose
111,base,no_limit,3,2,win
111,no_limit,base,2,3,lose
112,base,no_limit,3,2,win
112,no_limit,base,2,3,lose
113,base,no_limit,3,2,win
113,no_limit,base,2,3,lose
114,base,no_limit,3,2,win
114,no_limit,base,3,2,win
115,base,no_limit,3,2,win
115,no_limit,base,3,2,win
116,base,no_limit,3,2,win
116,no_limit,base,2,3,lose
117,base,no_limit,2,3,lose
117,no_limit,base,3,2,win
118,base,no_limit,3,2,win
118,no_limit,base,2,3,lose
119,base,no_limit,3,2,win
119,no_limit,base,2,3,lose
120,base,no_limit,3,2,win
120,no_limit,base,3,2,win
121,base,no_limit,2,3,lose
121,no_limit,base,2,3,lose
122,base,no_limit,3,2,win
122,no_limit,base,2,3,lose
123,base,no_limit,2,3,lose
123,no_limit,base,3,2,win
124,base,no_limit,2,3,lose
124,no_limit,base,3,2,win
125,base,no_limit,2,3,lose
125,no_limit,base,2,3,lose
126,base,no_limit,2,3,lose
126,no_limit,base,2,3,lose
127,base,no_limit,3,2,win
127,no_limit,base,2,3,lose
128,base,no_limit,3,2,win
128,no_limit,base,3,2,win
129,base,no_limit,3,2,win
129,no_limit,base,3,2,win
130,base,no_limit,2,3,lose
130,no_limit,base,3,2,win
131,base,no_limit,2,3,lose
131,no_limit,base,2,3,lose
132,base,no_limit,3,2,win
132,no_limit,base,2,3,lose
133,base,no_limit,2,3,lose
133,no_limit,base,3,2,win
134,base,no_limit,2,3,lose
134,no_limit,base,2,3,lose
135,base,no_limit,3,2,win
135,no_limit,base,2,3,lose
136,base,no_limit,2,3,lose
136,no_limit,base,2,3,lose
137,base,no_limit,2,3,lose
137,no_limit,base,2,3,lose
138,base,no_limit,3,2,win
138,no_limit,base,3,2,win
139,base,no_limit,3,2,win
139,no_limit,base,2,3,lose
140,base,no_limit,3,2,win
140,no_limit,base,3,2,win
141,base,no_limit,3,2,win
141,no_limit,base,2,3,lose
142,base,no_limit,3,2,win
